# issue 4615 -- debug metadata actually present in every scored capture
# generated by release-matrix.py
#
# selftest = the predicate's first clause, `!DILocation(line: 7,`: the
#   Sample() call on physical line 7 sits BEFORE the #line directive, so it
#   reports line 7 whether or not #line is honoured. It fails only if the
#   module carries no debug locations, or spells them differently. A `repro`
#   verdict therefore cannot be produced by a module with no debug info.

capture                                           compiler      verdict   selftest  !DILocation lines     !DIFile names                 
------------------------------------------------  ------------  --------  --------  --------------------  ------------------------------
out-main-debug.txt                                main-debug    repro     PASS      6,7,9                 repro.hlsl
out-v1.4.1907.txt                                 v1.4.1907     no-repro  PASS      6,7,400               repro.hlsl,virtual-source.hlsl
out-v1.5.2010.txt                                 v1.5.2010     repro     PASS      6,7,9                 repro.hlsl
out-v1.6.2104.txt                                 v1.6.2104     repro     PASS      6,7,9                 repro.hlsl
out-v1.6.2106.txt                                 v1.6.2106     repro     PASS      6,7,9                 repro.hlsl
out-v1.6.2112.txt                                 v1.6.2112     repro     PASS      6,7,9                 repro.hlsl
out-v1.7.2207.txt                                 v1.7.2207     repro     PASS      6,7,9                 repro.hlsl
out-v1.7.2212.txt                                 v1.7.2212     repro     PASS      6,7,9                 repro.hlsl
out-v1.7.2212.1.txt                               v1.7.2212.1   repro     PASS      6,7,9                 repro.hlsl
out-v1.7.2308.txt                                 v1.7.2308     repro     PASS      6,7,9                 repro.hlsl
out-v1.8.2403.txt                                 v1.8.2403     repro     PASS      6,7,9                 repro.hlsl
out-v1.8.2403.1.txt                               v1.8.2403.1   repro     PASS      6,7,9                 repro.hlsl
out-v1.8.2403.2.txt                               v1.8.2403.2   repro     PASS      6,7,9                 repro.hlsl
out-v1.8.2405.txt                                 v1.8.2405     repro     PASS      6,7,9                 repro.hlsl
out-v1.8.2407.txt                                 v1.8.2407     repro     PASS      6,7,9                 repro.hlsl
out-v1.8.2502.txt                                 v1.8.2502     repro     PASS      6,7,9                 repro.hlsl
out-v1.8.2505.txt                                 v1.8.2505     repro     PASS      6,7,9                 repro.hlsl
out-v1.8.2505.1.txt                               v1.8.2505.1   repro     PASS      6,7,9                 repro.hlsl
out-v1.9.2602.txt                                 v1.9.2602     repro     PASS      6,7,9                 repro.hlsl
out-v1.9.2602.24.txt                              v1.9.2602.24  repro     PASS      6,7,9                 repro.hlsl
out-v1.9.2607.txt                                 v1.9.2607     repro     PASS      6,7,9                 repro.hlsl
variant-diag-ignorelinedirectives-main-debug.txt  main-debug    no-repro  fail      (no debug locations)  (none)
variant-diag-main-debug.txt                       main-debug    no-repro  fail      (no debug locations)  (none)
variant-echo-main-debug.txt                       main-debug    repro     PASS      6,7,9                 control-echo.hlsl
variant-ignorelinedirectives-main-debug.txt       main-debug    repro     PASS      6,7,9                 repro.hlsl
variant-nodebuginfo-main-debug.txt                main-debug    no-repro  fail      (no debug locations)  (none)
variant-physical400-main-debug.txt                main-debug    no-repro  PASS      6,7,400               control-physical400.hlsl
variant-spirv-main-debug.txt                      main-debug    no-repro  fail      (no debug locations)  (none)
