Paired release matrix for issue 4701 -- reported case vs reference case.
Generated by release-matrix.py, which echoes every command it runs.
Stable releases only; prereleases are excluded by policy and the issue names none.

Columns: G = [10 x float] globals in addrspace(3); A = [10 x float] globals in any
address space; S3 = stores through an addrspace(3) pointer; S = stores of any kind;
TGSM = PSV NumBytesGroupSharedMemory ('-' = this release prints no PSV block);
verdict = match-deadarray.json.

release        arm        rc  G  A  S3  S  TGSM  verdict   sha256/16
--------------------------------------------------------------------
v1.4.1907      repro       0  1  1   1  1     -  repro     785e962095e7e6b4
v1.4.1907      static      0  0  0   0  0     -  no-repro  bd44d8dddeb1037e
v1.4.1907      local       0  0  0   0  0     -  no-repro  bd44d8dddeb1037e
v1.4.1907      gs-live     0  1  1   1  1     -  repro     d68a9d74398acb2e
v1.4.1907      hello       0  0  0   0  0     -  no-repro  a5f6df8ef6147519

v1.5.2010      repro       0  1  1   1  1     -  repro     1e7217c7a7d34e88
v1.5.2010      static      0  0  0   0  0     -  no-repro  6980c3c2887c5957
v1.5.2010      local       0  0  0   0  0     -  no-repro  6980c3c2887c5957
v1.5.2010      gs-live     0  1  1   1  1     -  repro     32a88332950d464a
v1.5.2010      hello       0  0  0   0  0     -  no-repro  e9dfae86f0f227c1

v1.6.2104      repro       0  1  1   1  1     -  repro     bf7a24156c32eb28
v1.6.2104      static      0  0  0   0  0     -  no-repro  6780f758c31448d8
v1.6.2104      local       0  0  0   0  0     -  no-repro  6780f758c31448d8
v1.6.2104      gs-live     0  1  1   1  1     -  repro     2be12eef6638d497
v1.6.2104      hello       0  0  0   0  0     -  no-repro  8681d7dca7963fb4

v1.6.2106      repro       0  1  1   1  1     -  repro     bf7a24156c32eb28
v1.6.2106      static      0  0  0   0  0     -  no-repro  6780f758c31448d8
v1.6.2106      local       0  0  0   0  0     -  no-repro  6780f758c31448d8
v1.6.2106      gs-live     0  1  1   1  1     -  repro     2be12eef6638d497
v1.6.2106      hello       0  0  0   0  0     -  no-repro  8681d7dca7963fb4

v1.6.2112      repro       0  1  1   1  1     -  repro     bf7a24156c32eb28
v1.6.2112      static      0  0  0   0  0     -  no-repro  6780f758c31448d8
v1.6.2112      local       0  0  0   0  0     -  no-repro  6780f758c31448d8
v1.6.2112      gs-live     0  1  1   1  1     -  repro     2be12eef6638d497
v1.6.2112      hello       0  0  0   0  0     -  no-repro  8681d7dca7963fb4

v1.7.2207      repro       0  1  1   1  1     -  repro     f826524dcd9d6de0
v1.7.2207      static      0  0  0   0  0     -  no-repro  d092ef7c41b5b7a3
v1.7.2207      local       0  0  0   0  0     -  no-repro  d092ef7c41b5b7a3
v1.7.2207      gs-live     0  1  1   1  1     -  repro     4162150c66060214
v1.7.2207      hello       0  0  0   0  0     -  no-repro  1ac31588eb243331

v1.7.2212      repro       0  1  1   1  1     -  repro     8e8d7b486843b14f
v1.7.2212      static      0  0  0   0  0     -  no-repro  287fd9c6372e862f
v1.7.2212      local       0  0  0   0  0     -  no-repro  287fd9c6372e862f
v1.7.2212      gs-live     0  1  1   1  1     -  repro     fc82092b86b407b5
v1.7.2212      hello       0  0  0   0  0     -  no-repro  8781935a8f4b4946

v1.7.2212.1    repro       0  1  1   1  1     -  repro     7521903dc0a54e64
v1.7.2212.1    static      0  0  0   0  0     -  no-repro  b478f271ec6adb93
v1.7.2212.1    local       0  0  0   0  0     -  no-repro  b478f271ec6adb93
v1.7.2212.1    gs-live     0  1  1   1  1     -  repro     e92c21815a59df86
v1.7.2212.1    hello       0  0  0   0  0     -  no-repro  e5b0305ff442ea53

v1.7.2308      repro       0  1  1   1  1     -  repro     7680a68612383099
v1.7.2308      static      0  0  0   0  0     -  no-repro  94138d81b0b90602
v1.7.2308      local       0  0  0   0  0     -  no-repro  94138d81b0b90602
v1.7.2308      gs-live     0  1  1   1  1     -  repro     e6777f1f9c0854ff
v1.7.2308      hello       0  0  0   0  0     -  no-repro  ee77f7505a9668f1

v1.8.2403      repro       0  1  1   1  1     -  repro     6fc7b06dbba773d1
v1.8.2403      static      0  0  0   0  0     -  no-repro  7c3cc979b174eb9c
v1.8.2403      local       0  0  0   0  0     -  no-repro  7c3cc979b174eb9c
v1.8.2403      gs-live     0  1  1   1  1     -  repro     3f9c8e407886019c
v1.8.2403      hello       0  0  0   0  0     -  no-repro  3442dc5639226962

v1.8.2403.1    repro       0  1  1   1  1     -  repro     bd892d02f9a1250d
v1.8.2403.1    static      0  0  0   0  0     -  no-repro  d4bf5cf776831ee9
v1.8.2403.1    local       0  0  0   0  0     -  no-repro  d4bf5cf776831ee9
v1.8.2403.1    gs-live     0  1  1   1  1     -  repro     732e6ada994b316f
v1.8.2403.1    hello       0  0  0   0  0     -  no-repro  aefbbd4a7784d2f3

v1.8.2403.2    repro       0  1  1   1  1     -  repro     4bc808720d8e6436
v1.8.2403.2    static      0  0  0   0  0     -  no-repro  b79e8333ed1d5e69
v1.8.2403.2    local       0  0  0   0  0     -  no-repro  b79e8333ed1d5e69
v1.8.2403.2    gs-live     0  1  1   1  1     -  repro     cba722c0c392b656
v1.8.2403.2    hello       0  0  0   0  0     -  no-repro  62d9b22b186a88ef

v1.8.2405      repro       0  1  1   1  1     -  repro     5243979d873e5950
v1.8.2405      static      0  0  0   0  0     -  no-repro  729375748e39fd2f
v1.8.2405      local       0  0  0   0  0     -  no-repro  729375748e39fd2f
v1.8.2405      gs-live     0  1  1   1  1     -  repro     01589dd063f26149
v1.8.2405      hello       0  0  0   0  0     -  no-repro  8e0834f65d17d013

v1.8.2407      repro       0  1  1   1  1     -  repro     59aa729cf9df25dd
v1.8.2407      static      0  0  0   0  0     -  no-repro  4f39ae88aa3e6ca5
v1.8.2407      local       0  0  0   0  0     -  no-repro  4f39ae88aa3e6ca5
v1.8.2407      gs-live     0  1  1   1  1     -  repro     564ddd12503a6436
v1.8.2407      hello       0  0  0   0  0     -  no-repro  99fe03554ca1fce4

v1.8.2502      repro       0  1  1   1  1     -  repro     4c9cca1f79b8e3ee
v1.8.2502      static      0  0  0   0  0     -  no-repro  4d77db320cd041c7
v1.8.2502      local       0  0  0   0  0     -  no-repro  4d77db320cd041c7
v1.8.2502      gs-live     0  1  1   1  1     -  repro     ecaa02bd15749e89
v1.8.2502      hello       0  0  0   0  0     -  no-repro  316c3003fbc4f363

v1.8.2505      repro       0  1  1   1  1     -  repro     1ef09139e354ae80
v1.8.2505      static      0  0  0   0  0     -  no-repro  f3f71c1bbe2c6141
v1.8.2505      local       0  0  0   0  0     -  no-repro  f3f71c1bbe2c6141
v1.8.2505      gs-live     0  1  1   1  1     -  repro     d617a8a817c3ba37
v1.8.2505      hello       0  0  0   0  0     -  no-repro  db9a3f00163fd585

v1.8.2505.1    repro       0  1  1   1  1     -  repro     c259334cd0c822a2
v1.8.2505.1    static      0  0  0   0  0     -  no-repro  d2eed8fe6c4fa37d
v1.8.2505.1    local       0  0  0   0  0     -  no-repro  d2eed8fe6c4fa37d
v1.8.2505.1    gs-live     0  1  1   1  1     -  repro     4752f165e3df06b2
v1.8.2505.1    hello       0  0  0   0  0     -  no-repro  50366d3c93f5caea

v1.9.2602      repro       0  1  1   1  1     -  repro     d78d1f8b85467c55
v1.9.2602      static      0  0  0   0  0     -  no-repro  ab751d390fb60409
v1.9.2602      local       0  0  0   0  0     -  no-repro  ab751d390fb60409
v1.9.2602      gs-live     0  1  1   1  1     -  repro     168701f9493941c1
v1.9.2602      hello       0  0  0   0  0     -  no-repro  fb1ac16603da79d7

v1.9.2602.24   repro       0  1  1   1  1     -  repro     371fb26b8a27fd8c
v1.9.2602.24   static      0  0  0   0  0     -  no-repro  27cee7f3858cfa71
v1.9.2602.24   local       0  0  0   0  0     -  no-repro  27cee7f3858cfa71
v1.9.2602.24   gs-live     0  1  1   1  1     -  repro     b336e5de69349fe1
v1.9.2602.24   hello       0  0  0   0  0     -  no-repro  a312105f19439454

v1.9.2607      repro       0  1  1   1  1     -  repro     b6f2f391368ae070
v1.9.2607      static      0  0  0   0  0     -  no-repro  ebeee42223413bb2
v1.9.2607      local       0  0  0   0  0     -  no-repro  ebeee42223413bb2
v1.9.2607      gs-live     0  1  1   1  1     -  repro     1e5cd620eda8e3a9
v1.9.2607      hello       0  0  0   0  0     -  no-repro  62708685247236ed

main-debug     repro       0  1  1   1  1    40  repro     e7c915982c77ba13
main-debug     static      0  0  0   0  0     0  no-repro  cca75af25babd0c9
main-debug     local       0  0  0   0  0     0  no-repro  cca75af25babd0c9
main-debug     gs-live     0  1  1   1  1    40  repro     eead149d95d8e1f5
main-debug     hello       0  0  0   0  0     0  no-repro  7f05346746129ab9


Commands run for each row (identical on every release except the executable):
  repro    <dxc> -T cs_6_0 -E main repro.hlsl   # reported case: groupshared, store-only
  static   <dxc> -T cs_6_0 -E main control-static.hlsl   # REFERENCE case: same source, static instead
  local    <dxc> -T cs_6_0 -E main control-local.hlsl   # reference case: same array, function-local
  gs-live  <dxc> -T cs_6_0 -E main control-gs-live.hlsl   # self-test: groupshared that IS read back
  hello    <dxc> -T cs_6_0 -E main control-hello.hlsl   # feature-presence: trivial cs_6_0, no array

SELF-CHECKS: all rows measurable; the feature-presence control compiled on every release, and the instrument self-test saw a surviving groupshared global and addrspace(3) store on every release.
